"id";"image_url";"full_image_url";"name";"client";"start_date";"end_date";"working_as";"link";"link_title";"link_text"
"0";"images/projects/Sport-Lisboa-e-Benfica-Website-2-0.jpg";"images/projects/Sport-Lisboa-e-Benfica-Website-2-0-big.jpg";"Sport Lisboa e Benfica 2.0";"Sport Lisboa e Benfica";"2010";"2011";"Front end developer @ Portugal Telecom";"http://www.slbenfica.pt";"Sport Lisboa e Benfica's website";"http://www.slbenfica.pt"
"1";"images/projects/Benfica-Funzone.jpg";"images/projects/Benfica-Funzone-big.jpg";"Benfica Funzone";"Sport Lisboa e Benfica";"2011";"null";"Front end developer @ Portugal Telecom";"http://funzone.slbenfica.pt";"Benfica Funzone";"http://funzone.slbenfica.pt"
"2";"images/projects/Sport-Lisboa-e-Benfica-Single-pages-design.jpg";"images/projects/Sport-Lisboa-e-Benfica-Single-pages-design-big.jpg";"Sport Lisboa e Benfica - Single pages design";"Sport Lisboa e Benfica";"2010";"2011";"Front end developer @ Portugal Telecom";"http://www.slbenfica.pt";"Sport Lisboa e Benfica's website";"http://wwww.slbenfica.pt"
"3";"images/projects/Portuguese-Navy-Website.jpg";"images/projects/Portuguese-Navy-Website-big.jpg";"Portugese Navy Website";"Marinha Portuguesa";"2013";"2013";"Front end developer @ Portugal Telecom ";"http://www.marinha.pt";"Marinha Portuguesa";"http://www.marinha.pt"
